cups;fechaMaximo;hora;maximoPotenciaDemandadaKW;periodo
"ES0022000005635208CB1P";"2024/01/05";"13:30";"3,148";"1"
"ES0022000005635208CB1P";"2024/01/19";"14:45";"3,464";"2"
"ES0022000005635208CB1P";"2024/01/14";"13:45";"4,296";"3"
"ES0022000005635208CB1P";"2024/02/23";"14:00";"4,184";"1"
"ES0022000005635208CB1P";"2024/02/09";"14:30";"3,896";"2"
"ES0022000005635208CB1P";"2024/02/11";"14:45";"4,048";"3"
"ES0022000005635208CB1P";"2024/03/18";"19:15";"3,604";"1"
"ES0022000005635208CB1P";"2024/03/14";"14:15";"3,448";"2"
"ES0022000005635208CB1P";"2024/03/03";"09:30";"4,728";"3"
"ES0022000005635208CB1P";"2024/04/04";"14:00";"2,868";"1"
"ES0022000005635208CB1P";"2024/04/26";"15:00";"4,364";"2"
"ES0022000005635208CB1P";"2024/04/13";"13:45";"3,800";"3"
"ES0022000005635208CB1P";"2024/05/23";"13:45";"3,664";"1"
"ES0022000005635208CB1P";"2024/05/03";"14:45";"3,660";"2"
"ES0022000005635208CB1P";"2024/05/12";"13:00";"4,868";"3"
"ES0022000005635208CB1P";"2024/06/10";"21:45";"3,412";"1"
"ES0022000005635208CB1P";"2024/06/28";"15:30";"3,980";"2"
"ES0022000005635208CB1P";"2024/06/01";"10:30";"3,972";"3"
"ES0022000005635208CB1P";"2024/07/22";"20:30";"2,820";"1"
"ES0022000005635208CB1P";"2024/07/05";"14:45";"3,504";"2"
"ES0022000005635208CB1P";"2024/07/21";"14:30";"4,544";"3"
"ES0022000005635208CB1P";"2024/08/27";"20:45";"2,784";"1"
"ES0022000005635208CB1P";"2024/08/23";"15:30";"2,648";"2"
"ES0022000005635208CB1P";"2024/08/25";"13:15";"3,432";"3"
"ES0022000005635208CB1P";"2024/09/11";"20:30";"4,008";"1"
"ES0022000005635208CB1P";"2024/09/09";"09:00";"2,880";"2"
"ES0022000005635208CB1P";"2024/09/29";"14:45";"3,368";"3"
"ES0022000005635208CB1P";"2024/10/08";"20:30";"3,196";"1"
"ES0022000005635208CB1P";"2024/10/25";"15:00";"3,516";"2"
"ES0022000005635208CB1P";"2024/10/20";"11:30";"3,880";"3"
